Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,21/08/2020 19:00,Matmut Atlantique,Girondins de Bordeaux,FC Nantes,0 - 0
2,1,22/08/2020 17:00,Stade Gaston Gérard,Dijon FCO,Angers SCO,0 - 1
3,1,22/08/2020 21:00,Stade Pierre-Mauroy,LOSC,Stade Rennais FC,1 - 1
4,1,23/08/2020 13:00,Stade Louis II,AS Monaco,Stade de Reims,2 - 2
5,1,23/08/2020 15:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,3 - 1
6,1,23/08/2020 15:00,Stade des Costières,Nîmes Olympique,Stade Brestois 29,4 - 0
7,1,23/08/2020 17:00,Allianz Riviera,OGC Nice,RC Lens,2 - 1
11,2,28/08/2020 21:00,Groupama Stadium,Olympique Lyonnais,Dijon FCO,4 - 1
12,2,29/08/2020 17:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,2 - 1
19,2,29/08/2020 21:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,0 - 2
14,2,30/08/2020 13:00,Stade Auguste Delaune,Stade de Reims,LOSC,0 - 1
15,2,30/08/2020 15:00,Stade Raymond Kopa,Angers SCO,Girondins de Bordeaux,0 - 2
16,2,30/08/2020 15:00,Stade Saint-Symphorien,FC Metz,AS Monaco,0 - 1
17,2,30/08/2020 15:00,Stade de la Beaujoire,FC Nantes,Nîmes Olympique,2 - 1
18,2,30/08/2020 15:00,Stade Geoffroy-Guichard,AS Saint-Etienne,FC Lorient,2 - 0
20,2,30/08/2020 21:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,2 - 3
13,3,10/09/2020 21:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,1 - 0
21,3,11/09/2020 21:00,Matmut Atlantique,Girondins de Bordeaux,Olympique Lyonnais,0 - 0
22,3,12/09/2020 17:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,3 - 1
23,3,12/09/2020 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,RC Strasbourg Alsace,2 - 0
24,3,13/09/2020 13:00,Stade Pierre-Mauroy,LOSC,FC Metz,1 - 0
25,3,13/09/2020 15:00,Stade Raymond Kopa,Angers SCO,Stade de Reims,1 - 0
26,3,13/09/2020 15:00,Stade Gaston Gérard,Dijon FCO,Stade Brestois 29,0 - 2
27,3,13/09/2020 15:00,Stade du Moustoir,FC Lorient,RC Lens,2 - 3
28,3,13/09/2020 15:00,Stade des Costières,Nîmes Olympique,Stade Rennais FC,2 - 4
29,3,13/09/2020 17:00,Stade Louis II,AS Monaco,FC Nantes,2 - 1
30,3,13/09/2020 21:00,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,0 - 1
8,4,15/09/2020 21:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,2 - 1
9,4,16/09/2020 21:00,Parc des Princes,Paris Saint-Germain,FC Metz,1 - 0
10,4,17/09/2020 21:00,Orange Vélodrome,Olympique de Marseille,AS Saint-Etienne,0 - 2
31,4,18/09/2020 21:00,Groupama Stadium,Olympique Lyonnais,Nîmes Olympique,0 - 0
32,4,19/09/2020 17:00,Stade Bollaert-Delelis,RC Lens,Girondins de Bordeaux,2 - 1
33,4,19/09/2020 21:00,Roazhon Park,Stade Rennais FC,AS Monaco,2 - 1
34,4,20/09/2020 13:00,Allianz Riviera,OGC Nice,Paris Saint-Germain,0 - 3
35,4,20/09/2020 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Lorient,3 - 2
36,4,20/09/2020 15:00,Stade Saint-Symphorien,FC Metz,Stade de Reims,2 - 1
37,4,20/09/2020 15:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,4 - 1
38,4,20/09/2020 15:00,Stade de la Meinau,RC Strasbourg Alsace,Dijon FCO,1 - 0
39,4,20/09/2020 17:00,Stade de la Beaujoire,FC Nantes,AS Saint-Etienne,2 - 2
40,4,20/09/2020 21:00,Orange Vélodrome,Olympique de Marseille,LOSC,1 - 1
44,5,25/09/2020 21:00,Stade Pierre-Mauroy,LOSC,FC Nantes,2 - 0
50,5,26/09/2020 17:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade Rennais FC,0 - 3
46,5,26/09/2020 21:00,Orange Vélodrome,Olympique de Marseille,FC Metz,1 - 1
42,5,27/09/2020 13:00,Matmut Atlantique,Girondins de Bordeaux,OGC Nice,0 - 0
41,5,27/09/2020 15:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,3 - 2
43,5,27/09/2020 15:00,Stade Gaston Gérard,Dijon FCO,Montpellier Hérault SC,2 - 2
47,5,27/09/2020 15:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,3 - 2
48,5,27/09/2020 15:00,Stade des Costières,Nîmes Olympique,RC Lens,1 - 1
45,5,27/09/2020 17:00,Stade du Moustoir,FC Lorient,Olympique Lyonnais,1 - 1
49,5,27/09/2020 21:00,Stade Auguste Delaune,Stade de Reims,Paris Saint-Germain,0 - 2
57,6,02/10/2020 21:00,Parc des Princes,Paris Saint-Germain,Angers SCO,6 - 1
53,6,03/10/2020 17:00,Stade Bollaert-Delelis,RC Lens,AS Saint-Etienne,2 - 0
56,6,03/10/2020 21:00,Allianz Riviera,OGC Nice,FC Nantes,2 - 1
55,6,04/10/2020 13:00,Stade de la Mosson,Montpellier Hérault SC,Nîmes Olympique,0 - 1
51,6,04/10/2020 15:00,Matmut Atlantique,Girondins de Bordeaux,Dijon FCO,3 - 0
52,6,04/10/2020 15:00,Stade Francis-Le Blé,Stade Brestois 29,AS Monaco,1 - 0
54,6,04/10/2020 15:00,Stade Saint-Symphorien,FC Metz,FC Lorient,3 - 1
59,6,04/10/2020 15:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC,0 - 3
58,6,04/10/2020 17:00,Roazhon Park,Stade Rennais FC,Stade de Reims,2 - 2
60,6,04/10/2020 21:00,Groupama Stadium,Olympique Lyonnais,Olympique de Marseille,1 - 1
62,7,16/10/2020 19:00,Stade Gaston Gérard,Dijon FCO,Stade Rennais FC,1 - 1
67,7,16/10/2020 21:00,Stade des Costières,Nîmes Olympique,Paris Saint-Germain,0 - 4
68,7,17/10/2020 17:00,Stade Auguste Delaune,Stade de Reims,FC Lorient,1 - 3
64,7,17/10/2020 21:00,Orange Vélodrome,Olympique de Marseille,Girondins de Bordeaux,3 - 1
70,7,18/10/2020 13:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,2 - 3
61,7,18/10/2020 15:00,Stade Raymond Kopa,Angers SCO,FC Metz,1 - 1
65,7,18/10/2020 15:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,1 - 1
66,7,18/10/2020 15:00,Stade de la Beaujoire,FC Nantes,Stade Brestois 29,3 - 1
69,7,18/10/2020 17:00,Stade Geoffroy-Guichard,AS Saint-Etienne,OGC Nice,1 - 3
63,7,18/10/2020 21:00,Stade Pierre-Mauroy,LOSC,RC Lens,4 - 0
80,8,23/10/2020 21:00,Roazhon Park,Stade Rennais FC,Angers SCO,1 - 2
74,8,24/10/2020 17:00,Stade du Moustoir,FC Lorient,Olympique de Marseille,0 - 1
79,8,24/10/2020 21:00,Parc des Princes,Paris Saint-Germain,Dijon FCO,4 - 0
71,8,25/10/2020 15:00,Matmut Atlantique,Girondins de Bordeaux,Nîmes Olympique,2 - 0
72,8,25/10/2020 15:00,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,0 - 3
76,8,25/10/2020 15:00,Stade Saint-Symphorien,FC Metz,AS Saint-Etienne,2 - 0
77,8,25/10/2020 15:00,Stade de la Mosson,Montpellier Hérault SC,Stade de Reims,0 - 4
78,8,25/10/2020 17:00,Allianz Riviera,OGC Nice,LOSC,1 - 1
75,8,25/10/2020 21:00,Groupama Stadium,Olympique Lyonnais,AS Monaco,4 - 1
89,9,31/10/2020 17:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,2 - 1
86,9,31/10/2020 21:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,0 - 3
90,9,01/11/2020 13:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Montpellier Hérault SC,0 - 1
81,9,01/11/2020 15:00,Stade Raymond Kopa,Angers SCO,OGC Nice,0 - 3
82,9,01/11/2020 15:00,Stade Gaston Gérard,Dijon FCO,FC Lorient,0 - 0
87,9,01/11/2020 15:00,Stade des Costières,Nîmes Olympique,FC Metz,0 - 1
88,9,01/11/2020 15:00,Stade Auguste Delaune,Stade de Reims,RC Strasbourg Alsace,2 - 1
85,9,01/11/2020 17:00,Stade Louis II,AS Monaco,Girondins de Bordeaux,4 - 0
