Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/08/2018 18:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Juventus,2 - 3
2,1,18/08/2018 20:30,Stadio Olimpico,Lazio,Napoli,1 - 2
3,1,19/08/2018 18:00,Stadio Olimpico Grande Torino,Torino,Roma,0 - 1
4,1,19/08/2018 20:30,Stadio Renato Dall'Ara,Bologna,Spal,0 - 1
5,1,19/08/2018 20:30,Stadio Carlo Castellani,Empoli,Cagliari,2 - 0
7,1,19/08/2018 20:30,Stadio Ennio Tardini,Parma,Udinese,2 - 2
9,1,19/08/2018 20:30,Mapei Stadium – Città del Tricolore,Sassuolo,Inter,1 - 0
10,1,20/08/2018 20:30,Stadio Atleti Azzurri d'Italia,Atalanta,Frosinone,4 - 0
11,2,25/08/2018 18:00,Allianz Stadium,Juventus,Lazio,2 - 0
12,2,25/08/2018 20:30,Stadio San Paolo,Napoli,Milan,3 - 2
13,2,26/08/2018 18:00,Stadio Renato Dall'Ara,Spal,Parma,1 - 0
14,2,26/08/2018 20:30,Sardegna Arena,Cagliari,Sassuolo,2 - 2
15,2,26/08/2018 20:30,Stadio Artemio Franchi,Fiorentina,Chievoverona,6 - 1
16,2,26/08/2018 20:30,Stadio Olimpico Grande Torino,Frosinone,Bologna,0 - 0
17,2,26/08/2018 20:30,Stadio Luigi Ferraris,Genoa,Empoli,2 - 1
18,2,26/08/2018 20:30,Stadio Giuseppe Meazza,Inter,Torino,2 - 2
19,2,26/08/2018 20:30,Stadio Friuli,Udinese,Sampdoria,1 - 0
20,2,27/08/2018 20:30,Stadio Olimpico,Roma,Atalanta,3 - 3
21,3,31/08/2018 20:30,Stadio Giuseppe Meazza,Milan,Roma,2 - 1
22,3,01/09/2018 18:00,Stadio Renato Dall'Ara,Bologna,Inter,0 - 3
23,3,01/09/2018 20:30,Stadio Ennio Tardini,Parma,Juventus,1 - 2
24,3,02/09/2018 18:00,Stadio Artemio Franchi,Fiorentina,Udinese,1 - 0
