Stadium;Capacity
Signal Iduna Park (Borussia Dortmund);81.365
Allianz Arena (FC Bayern Munich);75.024
Olympiastadion (Hertha BSC Berlin);74.400
Veltins Arena (FC Schalke 04);62.271
Mercedes-Benz Arena (VfB Stuttgart);60.449
Borussia-Park (Borussia Mönchengladbach);54.022
Deutsche Bank Park (Eintracht Frankfurt);51.500
Red Bull Arena (Leipzig);42.558
Wohninvest Weserstadion (SV Werder Bremen);42.100
Opel Arena (1. FSV Mainz 05);34.000
WWK Arena (FC Augsburg);30.660
WWK ARENA (FC Augsburg);30.660
BayArena (Bayer 04 Leverkusen);30.210
PreZero Arena (TSG Hoffeneim);30.150
Volkswagen Arena (VfL Wolfsburg);30.000
SchücoArena (Arminia Bielefeld);26.515
Schwarzwald Stadion (SC Freiburg);24.000
An der Alten Försterei (1. FC Union Berlin);22.012
