Stadium;Capacity
Camp Nou (FC Barcelona);99.787
Santiago Bernabeu (Real Madrid);85.454
Wanda Metropolitano (Atletico de Madrid);68.000
Benito Villamarin (Real Betis);60.721
Mestalla (Valencia);55.000
San Marmes (Athletic Club);53.332
Ramon Sanchez Pizjuan (Sevilla);42.714
Martinez Valero (Elche);33.732
Anoeta (Real Sociedad);32.076
Abanca Balaidos (Celta);28.700
Municipal Jose Zorrilla (Real Valladolid);26.512
Ciutat de Valencia (Levante);25.354
Nuevo Ramon de Carranza (Cadiz);25.033
Estadio de la Ceramica (Villarreal);24.500
Mendizorroza (Alaves);19.940
Nuevo Los Carmenes (Granada);19.336
El Sadar (Osasuna);18.761
Coliseum Alfonso Perez (Getafe);17.700
Municipal de Ipurua (Eibar);8.164
El Acoraz (Huesca);7.638
