Stadium;Capacity
Giuseppe Meazza - Milan;80.018
Olimpico - Rome;72.698
San Paolo - Naples;60.240
Artemio Franchi - Florence;47.284
Allianz Stadium - Turin;41.254
Marcantonio Bentegodi - Verona;39.211
Renato Dall'Ara - Bologna;38.375
Luigi Ferraris - Genoa;36.603
Ennio Tardini - Parma;28.783
Olimpico - Turin;27.958
Gewiss Stadium;26.562
Dacia Arena - Udine;25.144
Dino Manuzzi - Cesena;23.860
Mapei Stadium - Reggio Emilia;20.084
Ciro Vigorito - Benevento;18.975
Ezio Scida - Crotone;16.547
Sardegna Arena - Cagliari;16.233
Alberto Picco - La Spezia;10.336
